,paragraph,guide_id,paragraph_id,possible_citations
0,"The Court’s approach to the interpretation of Article 2 must be guided by the fact that the object and purpose of the Convention as an instrument for the protection of individual human beings requires that its provisions must be interpreted and applied so as to make its safeguards practical and effective (McCann and Others v. the United Kingdom, 1995, § 146).",guide_art_2_eng,1,"{""001-57943"": ""CASE OF McCANN AND OTHERS v. THE UNITED KINGDOM"", ""001-104098"": ""CASE OF GIULIANI AND GAGGIO v. ITALY"", ""001-23338"": ""BOSO v. ITALY"", ""001-161975"": ""CASE OF ARMANI DA SILVA v. THE UNITED KINGDOM""}"
1,"Article 2 ranks as one of the most fundamental provisions in the Convention, one which in peace time, admits of no derogation under Article 15. Together with Article 3, it enshrines one of the basic values of the democratic societies making up the Council of Europe (Giuliani and Gaggio v. Italy [GC], 2011, § 174). As such, its provisions must be strictly construed (McCann and Others v. the United Kingdom, 1995, § 147).",guide_art_2_eng,2,"{""001-57943"": ""CASE OF McCANN AND OTHERS v. THE UNITED KINGDOM"", ""001-104098"": ""CASE OF GIULIANI AND GAGGIO v. ITALY"", ""001-23338"": ""BOSO v. ITALY"", ""001-161975"": ""CASE OF ARMANI DA SILVA v. THE UNITED KINGDOM""}"
2,"Article 2 contains two substantive obligations: the general obligation to protect by law the right to life, and the prohibition of intentional deprivation of life, delimited by a list of exceptions (Boso v. Italy (dec.), 2002). Having regard to its fundamental character, Article 2 of the Convention also contains a procedural obligation to carry out an effective investigation into alleged breaches of its substantive limb (Armani Da Silva v. the United Kingdom [GC], 2016, § 229).",guide_art_2_eng,3,"{""001-57943"": ""CASE OF McCANN AND OTHERS v. THE UNITED KINGDOM"", ""001-104098"": ""CASE OF GIULIANI AND GAGGIO v. ITALY"", ""001-23338"": ""BOSO v. ITALY"", ""001-161975"": ""CASE OF ARMANI DA SILVA v. THE UNITED KINGDOM""}"
3,"The Court has emphasised on many occasions that Article 2 of the Convention may come into play even if a person whose right to life was allegedly breached did not die. In particular, the Court has held that in exceptional circumstances, depending on considerations such as the degree and type of force used and the nature of the injuries, use of force by State agents which does not result in death may disclose a violation of Article 2 of the Convention, if the behaviour of the State agents, by its very nature, puts the applicant’s life at serious risk even though the latter survives (Makaratzis v. Greece [GC], 2004, § 55; Soare and Others v. Romania, 2011, §§ 108-109; Trévalec v. Belgium, 2011, §§ 55- 61). In all other cases where a person is assaulted or ill-treated by State agents, their complaints will rather fall to be examined under Article 3 of the Convention (Makaratzis v. Greece [GC], 2004, § 51; İlhan v. Turkey [GC], 2000, § 76). In cases concerning applicants who survived a potentially lethal attack by non-State actors, the Court has adopted a similar approach to the one taken in respect of cases concerning use of force by State agents (Yotova v. Bulgaria, 2012, § 69).",guide_art_2_eng,4,"{""001-57943"": ""CASE OF McCANN AND OTHERS v. THE UNITED KINGDOM"", ""001-104098"": ""CASE OF GIULIANI AND GAGGIO v. ITALY"", ""001-23338"": ""BOSO v. ITALY"", ""001-161975"": ""CASE OF ARMANI DA SILVA v. THE UNITED KINGDOM"", ""001-67820"": ""CASE OF MAKARATZIS v. GREECE"", ""001-103591"": ""AFFAIRE SOARE ET AUTRES c. ROUMANIE"", ""001-105118"": ""AFFAIRE TR\u00c9VALEC c. BELGIQUE"", ""001-58734"": ""CASE OF ILHAN v. TURKEY"", ""001-114078"": ""AFFAIRE YOTOVA c. BULGARIE"", ""001-58176"": ""CASE OF L.C.B. v. THE UNITED KINGDOM"", ""001-95926"": ""AFFAIRE G.N. ET AUTRES c. ITALIE"", ""001-114492"": ""CASE OF HRISTOZOV AND OTHERS v. BULGARIA "", ""001-97848"": ""CASE OF OYAL v. TURKEY"", ""001-202732"": ""CASE OF AFTANACHE v. ROMANIA"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-115019"": ""CASE OF R.R. AND OTHERS v. HUNGARY"", ""001-202524"": ""CASE OF MAKUCHYAN AND MINASYAN v. AZERBAIJAN AND HUNGARY"", ""001-155359"": ""CASE OF SELAHATT\u0130N DEM\u0130RTA\u015e v. TURKEY"", ""001-94987"": ""CASE OF ALKIN v. TURKEY"", ""001-174213"": ""\u00c7AKMAK\u00c7I v. TURKEY"", ""001-173467"": ""CASE OF FERGEC v. CROATIA"", ""001-164663"": ""CASE OF KOTELNIKOV v. RUSSIA"", ""001-160257"": ""AFFAIRE CAV\u0130T TINARLIO\u011eLU c. TURQUIE"", ""001-201867"": ""AFFAIRE MARIUS ALEXANDRU ET MARINELA \u0218TEFAN c. ROUMANIE"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-194307"": ""CASE OF NICOLAE VIRGILIU T\u0102NASE v. ROMANIA"", ""001-202125"": ""AFFAIRE JEANTY c. BELGIQUE"", ""001-203825"": ""CASE OF T\u00cbRSHANA v. ALBANIA"", ""001-210045"": ""CASE OF LAPSHIN v. AZERBAIJAN""}"
4,"The Court has also found the allegations of persons suffering from serious illnesses to fall under Article 2 of the Convention when the circumstances potentially engaged the responsibility of the State (L.C.B. v. the United Kingdom, 1998, §§ 36-41, concerning an applicant suffering from leukaemia; G.N. and Others v. Italy, 2009, concerning applicants suffering from a potentially life-threatening disease, hepatitis; Hristozov and Others v. Bulgaria, 2012, concerning applicants suffering from different forms of terminal cancer; Oyal v. Turkey, 2010, in which the applicant had been infected with the HIV virus, which endangered his life; Aftanache v. Romania, 2020, § 53, where the medical personnel refused to administer the usual insulin treatment to a diabetic in a precarious condition and a contrario Brincat and Others v. Malta, 2014, § 84, where the Court considered that Article 2 did not apply to the applicants, former employees of a Government-run ship repair yard, who had been exposed to asbestos, since their current health conditions were neither an inevitable precursor to the diagnosis of a rare cancer associated with asbestos exposure nor life-threatening).",guide_art_2_eng,5,"{""001-67820"": ""CASE OF MAKARATZIS v. GREECE"", ""001-103591"": ""AFFAIRE SOARE ET AUTRES c. ROUMANIE"", ""001-105118"": ""AFFAIRE TR\u00c9VALEC c. BELGIQUE"", ""001-58734"": ""CASE OF ILHAN v. TURKEY"", ""001-114078"": ""AFFAIRE YOTOVA c. BULGARIE"", ""001-58176"": ""CASE OF L.C.B. v. THE UNITED KINGDOM"", ""001-95926"": ""AFFAIRE G.N. ET AUTRES c. ITALIE"", ""001-114492"": ""CASE OF HRISTOZOV AND OTHERS v. BULGARIA "", ""001-97848"": ""CASE OF OYAL v. TURKEY"", ""001-202732"": ""CASE OF AFTANACHE v. ROMANIA"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-115019"": ""CASE OF R.R. AND OTHERS v. HUNGARY"", ""001-202524"": ""CASE OF MAKUCHYAN AND MINASYAN v. AZERBAIJAN AND HUNGARY"", ""001-155359"": ""CASE OF SELAHATT\u0130N DEM\u0130RTA\u015e v. TURKEY"", ""001-94987"": ""CASE OF ALKIN v. TURKEY"", ""001-174213"": ""\u00c7AKMAK\u00c7I v. TURKEY"", ""001-173467"": ""CASE OF FERGEC v. CROATIA"", ""001-164663"": ""CASE OF KOTELNIKOV v. RUSSIA"", ""001-160257"": ""AFFAIRE CAV\u0130T TINARLIO\u011eLU c. TURQUIE"", ""001-201867"": ""AFFAIRE MARIUS ALEXANDRU ET MARINELA \u0218TEFAN c. ROUMANIE"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-194307"": ""CASE OF NICOLAE VIRGILIU T\u0102NASE v. ROMANIA"", ""001-202125"": ""AFFAIRE JEANTY c. BELGIQUE"", ""001-203825"": ""CASE OF T\u00cbRSHANA v. ALBANIA"", ""001-210045"": ""CASE OF LAPSHIN v. AZERBAIJAN""}"
5,"The Court has also examined, on the merits, allegations made under Article 2 by persons claiming that their life was at risk, although no such risk had yet materialised, when it was persuaded that there had been a serious threat to their lives (R.R. and Others v. Hungary, 2012, §§ 26-32, where the applicants complained of having been excluded from a witness protection programme; Makuchyan and Minasyan v. Azerbaijan and Hungary, 2020, §§ 93-94 where the perpetrator threatened to kill the applicant whilst trying to break down the door of his room with an axe; and, by contrast, Selahattin Demirtaş v. Turkey, 2015, §§ 30-36, where the applicant complained that a newspaper article had put his life at risk).",guide_art_2_eng,6,"{""001-67820"": ""CASE OF MAKARATZIS v. GREECE"", ""001-103591"": ""AFFAIRE SOARE ET AUTRES c. ROUMANIE"", ""001-105118"": ""AFFAIRE TR\u00c9VALEC c. BELGIQUE"", ""001-58734"": ""CASE OF ILHAN v. TURKEY"", ""001-114078"": ""AFFAIRE YOTOVA c. BULGARIE"", ""001-58176"": ""CASE OF L.C.B. v. THE UNITED KINGDOM"", ""001-95926"": ""AFFAIRE G.N. ET AUTRES c. ITALIE"", ""001-114492"": ""CASE OF HRISTOZOV AND OTHERS v. BULGARIA "", ""001-97848"": ""CASE OF OYAL v. TURKEY"", ""001-202732"": ""CASE OF AFTANACHE v. ROMANIA"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-115019"": ""CASE OF R.R. AND OTHERS v. HUNGARY"", ""001-202524"": ""CASE OF MAKUCHYAN AND MINASYAN v. AZERBAIJAN AND HUNGARY"", ""001-155359"": ""CASE OF SELAHATT\u0130N DEM\u0130RTA\u015e v. TURKEY"", ""001-94987"": ""CASE OF ALKIN v. TURKEY"", ""001-174213"": ""\u00c7AKMAK\u00c7I v. TURKEY"", ""001-173467"": ""CASE OF FERGEC v. CROATIA"", ""001-164663"": ""CASE OF KOTELNIKOV v. RUSSIA"", ""001-160257"": ""AFFAIRE CAV\u0130T TINARLIO\u011eLU c. TURQUIE"", ""001-201867"": ""AFFAIRE MARIUS ALEXANDRU ET MARINELA \u0218TEFAN c. ROUMANIE"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-194307"": ""CASE OF NICOLAE VIRGILIU T\u0102NASE v. ROMANIA"", ""001-202125"": ""AFFAIRE JEANTY c. BELGIQUE"", ""001-203825"": ""CASE OF T\u00cbRSHANA v. ALBANIA"", ""001-210045"": ""CASE OF LAPSHIN v. AZERBAIJAN""}"
6,"Likewise, in cases concerning potentially lethal accidents (Alkın v. Turkey, 2009, § 29; Çakmakçı v. Turkey (dec.), 2017, § 32; Fergec v. Croatia, 2017, §§ 21-24; Kotelnikov v. Russia, 2016, § 98; Cavit Tınarlıoğlu v. Turkey, 2016, § 67; Marius Alexandru and Marinela Ștefan v. Romania, 2020, § 75), or environmental disasters (Kolyadenko and Others v. Russia, 2012, § 155), the Court has examined under Article 2 of the Convention the complaints of the applicant who had fortuitously survived the incident. The principle is that in such situations Article 2 applies either if (a) the activity at issue was dangerous by its very nature and put the life of the people concerned at real and imminent risk, or if (b) the injuries suffered by them were seriously life-threatening. The assessment of the relevant risk or injury depends on various factors (Nicolae Virgiliu Tănase v. Romania [GC], 2019, §§ 139-145).",guide_art_2_eng,7,"{""001-67820"": ""CASE OF MAKARATZIS v. GREECE"", ""001-103591"": ""AFFAIRE SOARE ET AUTRES c. ROUMANIE"", ""001-105118"": ""AFFAIRE TR\u00c9VALEC c. BELGIQUE"", ""001-58734"": ""CASE OF ILHAN v. TURKEY"", ""001-114078"": ""AFFAIRE YOTOVA c. BULGARIE"", ""001-58176"": ""CASE OF L.C.B. v. THE UNITED KINGDOM"", ""001-95926"": ""AFFAIRE G.N. ET AUTRES c. ITALIE"", ""001-114492"": ""CASE OF HRISTOZOV AND OTHERS v. BULGARIA "", ""001-97848"": ""CASE OF OYAL v. TURKEY"", ""001-202732"": ""CASE OF AFTANACHE v. ROMANIA"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-115019"": ""CASE OF R.R. AND OTHERS v. HUNGARY"", ""001-202524"": ""CASE OF MAKUCHYAN AND MINASYAN v. AZERBAIJAN AND HUNGARY"", ""001-155359"": ""CASE OF SELAHATT\u0130N DEM\u0130RTA\u015e v. TURKEY"", ""001-94987"": ""CASE OF ALKIN v. TURKEY"", ""001-174213"": ""\u00c7AKMAK\u00c7I v. TURKEY"", ""001-173467"": ""CASE OF FERGEC v. CROATIA"", ""001-164663"": ""CASE OF KOTELNIKOV v. RUSSIA"", ""001-160257"": ""AFFAIRE CAV\u0130T TINARLIO\u011eLU c. TURQUIE"", ""001-201867"": ""AFFAIRE MARIUS ALEXANDRU ET MARINELA \u0218TEFAN c. ROUMANIE"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-194307"": ""CASE OF NICOLAE VIRGILIU T\u0102NASE v. ROMANIA"", ""001-202125"": ""AFFAIRE JEANTY c. BELGIQUE"", ""001-203825"": ""CASE OF T\u00cbRSHANA v. ALBANIA"", ""001-210045"": ""CASE OF LAPSHIN v. AZERBAIJAN""}"
7,"In Jeanty v. Belgium, 2020, where a detainee with psychological difficulties failed in his numerous attempts to commit suicide, the Court considered that Article 2 was applicable in the circumstances of the case, irrespective of the fact that the injuries he had sustained were not serious, in view of the nature of the action at issue which put the applicant’s life at a real and imminent risk (§ 62).",guide_art_2_eng,8,"{""001-67820"": ""CASE OF MAKARATZIS v. GREECE"", ""001-103591"": ""AFFAIRE SOARE ET AUTRES c. ROUMANIE"", ""001-105118"": ""AFFAIRE TR\u00c9VALEC c. BELGIQUE"", ""001-58734"": ""CASE OF ILHAN v. TURKEY"", ""001-114078"": ""AFFAIRE YOTOVA c. BULGARIE"", ""001-58176"": ""CASE OF L.C.B. v. THE UNITED KINGDOM"", ""001-95926"": ""AFFAIRE G.N. ET AUTRES c. ITALIE"", ""001-114492"": ""CASE OF HRISTOZOV AND OTHERS v. BULGARIA "", ""001-97848"": ""CASE OF OYAL v. TURKEY"", ""001-202732"": ""CASE OF AFTANACHE v. ROMANIA"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-115019"": ""CASE OF R.R. AND OTHERS v. HUNGARY"", ""001-202524"": ""CASE OF MAKUCHYAN AND MINASYAN v. AZERBAIJAN AND HUNGARY"", ""001-155359"": ""CASE OF SELAHATT\u0130N DEM\u0130RTA\u015e v. TURKEY"", ""001-94987"": ""CASE OF ALKIN v. TURKEY"", ""001-174213"": ""\u00c7AKMAK\u00c7I v. TURKEY"", ""001-173467"": ""CASE OF FERGEC v. CROATIA"", ""001-164663"": ""CASE OF KOTELNIKOV v. RUSSIA"", ""001-160257"": ""AFFAIRE CAV\u0130T TINARLIO\u011eLU c. TURQUIE"", ""001-201867"": ""AFFAIRE MARIUS ALEXANDRU ET MARINELA \u0218TEFAN c. ROUMANIE"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-194307"": ""CASE OF NICOLAE VIRGILIU T\u0102NASE v. ROMANIA"", ""001-202125"": ""AFFAIRE JEANTY c. BELGIQUE"", ""001-203825"": ""CASE OF T\u00cbRSHANA v. ALBANIA"", ""001-210045"": ""CASE OF LAPSHIN v. AZERBAIJAN""}"
8,"In fact, the Court has recently underlined that Article 2 also comes into play in situations where the person concerned was the victim of an activity or conduct, whether public or private, which by its nature put his or her life at real and imminent risk and he or she has suffered injuries that appear life- threatening as they occur, even though he or she ultimately survived (Tërshana v. Albania, 2020, § 132; Lapshin v. Azerbaijan, 2021, § 71).",guide_art_2_eng,9,"{""001-67820"": ""CASE OF MAKARATZIS v. GREECE"", ""001-103591"": ""AFFAIRE SOARE ET AUTRES c. ROUMANIE"", ""001-105118"": ""AFFAIRE TR\u00c9VALEC c. BELGIQUE"", ""001-58734"": ""CASE OF ILHAN v. TURKEY"", ""001-114078"": ""AFFAIRE YOTOVA c. BULGARIE"", ""001-58176"": ""CASE OF L.C.B. v. THE UNITED KINGDOM"", ""001-95926"": ""AFFAIRE G.N. ET AUTRES c. ITALIE"", ""001-114492"": ""CASE OF HRISTOZOV AND OTHERS v. BULGARIA "", ""001-97848"": ""CASE OF OYAL v. TURKEY"", ""001-202732"": ""CASE OF AFTANACHE v. ROMANIA"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-115019"": ""CASE OF R.R. AND OTHERS v. HUNGARY"", ""001-202524"": ""CASE OF MAKUCHYAN AND MINASYAN v. AZERBAIJAN AND HUNGARY"", ""001-155359"": ""CASE OF SELAHATT\u0130N DEM\u0130RTA\u015e v. TURKEY"", ""001-94987"": ""CASE OF ALKIN v. TURKEY"", ""001-174213"": ""\u00c7AKMAK\u00c7I v. TURKEY"", ""001-173467"": ""CASE OF FERGEC v. CROATIA"", ""001-164663"": ""CASE OF KOTELNIKOV v. RUSSIA"", ""001-160257"": ""AFFAIRE CAV\u0130T TINARLIO\u011eLU c. TURQUIE"", ""001-201867"": ""AFFAIRE MARIUS ALEXANDRU ET MARINELA \u0218TEFAN c. ROUMANIE"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-194307"": ""CASE OF NICOLAE VIRGILIU T\u0102NASE v. ROMANIA"", ""001-202125"": ""AFFAIRE JEANTY c. BELGIQUE"", ""001-203825"": ""CASE OF T\u00cbRSHANA v. ALBANIA"", ""001-210045"": ""CASE OF LAPSHIN v. AZERBAIJAN""}"
9,"Article 2 § 1 enjoins the State not only to refrain from the intentional and unlawful taking of life but also to take appropriate steps to safeguard the lives of those within its jurisdiction (Centre for Legal Resources on behalf of Valentin Câmpeanu v. Romania [GC], 2014, § 130). In broad terms, this positive obligation has two aspects: (a) the duty to provide a regulatory framework; and (b) the obligation to take preventive operational measures.",guide_art_2_eng,10,"{""001-145577"": ""CASE OF CENTRE FOR LEGAL RESOURCES ON BEHALF OF VALENTIN C\u00c2MPEANU v. ROMANIA"", ""001-60329"": ""CASE OF CALVELLI AND CIGLIO v. ITALY"", ""001-61887"": ""CASE OF VO v. FRANCE"", ""001-67614"": ""CASE OF \u00d6NERYILDIZ v. TURKEY"", ""001-85436"": ""CASE OF BUDAYEVA AND OTHERS v. RUSSIA"", ""001-109283"": ""CASE OF KOLYADENKO AND OTHERS v. RUSSIA"", ""001-145790"": ""CASE OF BRINCAT AND OTHERS v. MALTA"", ""001-158803"": ""CASE OF M. \u00d6ZEL AND OTHERS v. TURKEY"", ""001-43930"": ""LERAY, GUILCHER, AMEON, MARGUE et MAD contre la FRANCE"", ""001-96252"": ""AFFAIRE KALENDER c. TURQUIE"", ""001-75350"": ""AFFAIRE PEREIRA HENRIQUES c. LUXEMBOURG"", ""001-138479"": ""KOCESKI v. \""THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA\"""", ""001-110253"": ""CASE OF \u0130LBEYI KEMALO\u011eLU AND MERIYE KEMALO\u011eLU v. TURKEY"", ""001-83946"": ""RAJKOWSKA v. POLAND"", ""001-104859"": ""CASE OF ANNA TODOROVA v. BULGARIA"", ""001-90321"": ""FURDIK v. SLOVAKIA"", ""001-138597"": ""CASE OF VILNES AND OTHERS v. NORWAY"", ""001-120956"": ""AFFAIRE NENCHEVA ET AUTRES c. BULGARIE"", ""001-187871"": ""DUMPE v. LATVIA"", ""001-78458"": ""AFFAIRE PA\u015eA ET ERKAN EROL c. TURQUIE"", ""001-88770"": ""CASE OF ALBEKOV AND OTHERS v. RUSSIA"", ""001-140390"": ""AFFAIRE ORUK c. TURQUIE"", ""001-84667"": ""CASE OF OSMANO\u011eLU v. TURKEY"", ""001-84438"": ""CASE OF DODOV v. BULGARIA""}"
